HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,21,7,STOMACH,Silent R p16
2,21,11,MAKE-UP,Ex 21.1 (p12)
3,22,22,WHAT'S THE MATTER,Ex 21.2 (p13)
4,22,26,HAVE TO,Ex 21.3 (p15)
5,22,31,HEAVY,Weak forms (p37)
6,22,41,RIVER,Ex 22.1 (p33)
7,23,45,CLIMB,Ex 22.2 (p35)
8,23,49,GO CLIMBING,Ex 22.3 (p36)
9,23,54,GO HIKING,Silent E (p61)
10,24,64,GOOD-LOOKING,Ex 23.1 (p56)
11,24,70,DESCRIBE,Ex 23.2 (p58)
12,24,74,STAY IN,Ex 23.3 (p59)
13,25,85,UNIFORM,Ex 23.4 (p60)
14,25,90,SUBJECT,Present or past (p80)
15,25,94,KID,Survival (p101)
16,25,97,TEENAGER,Ex 24.1 (p76)
17,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
18,26,110,SOUP,Ex 25.1 (p98)
19,26,114,PREPARE,Ex 25.2 (p99)
20,26,119,SNACK,Ex 25.3 (p100)
21,27,130,GO AROUND,Weak forms p125
22,27,135,WILL vs GOING TO,Ex 26.1 (p121)
23,27,138,WILL with THINK,Ex 26.2 (p123)
24,28,148,POUNDS,Ex 26.3 (p124)
25,28,151,SALESPERSON,WON'T vs WANT (p143)
26,28,155,Uncountable nouns,Ex 27.1 (p141)
27,28,158,SCISSORS,
28,29,169,TRAVEL,Ex 27.3 (p142)
29,29,174,BRING vs TAKE,Survival: Revision of numbers) (p165)
30,29,178,CHECK IN,Ex 28.1 (p162)
31,29,183,SINGLE BED,Ex 28.2 (p164)
32,30,192,SO (adv),Ex 28.3 (p165)
33,30,199,Adj + ENOUGH,Consonant sounds (p185)
34,30,202,ALIVE,Silent letters (p205)
35,,,GRAMMAR REVIEW,
36,,,REVISION,FINISH ANY EXERCISES NOT DONE.
37,,,REVISION,
38,,,END OF STEP EXAM,
39,,,SPEAKER'S CORNER,
