HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,11,8,DO THE CLEANING,Consonant sounds (p19)
2,11,13,WATCH,Ex 11.1 (p15)
3,12,25,ADDRESS,Ex 11.2 (p16)
4,12,31,COMPUTER GAMES,Ex 11.3 (p17)
5,12,37,"ME, YOU, HIM, HER",Survival (p42)
6,13,47,FAMOUS,Ex 12.1 (p39)
7,13,52,QUICK --> QUICKER,Ex 12.3 (p40)
8,13,56,SHORT --> SHORTER,Consonant sounds (p69)
9,13,61,LESS,Ex 13.1 (p65)
10,13,65,THINK,Ex 13.2 (p67)
11,14,76,Structure of present cont.,Ex 13.3 (p67)
12,14,81,FEEL,Nasals (p91)
13,14,87,SNOW,Ex 14.1 (p87)
14,15,98,WORK,Ex 14.2 (p89)
15,15,104,FARM,Ex 14.3 (p90)
16,15,108,,/w/ and /j/ (p112)
17,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
18,16,126,NEXT YEAR,Survival (p136)
19,16,130,CAKE,Ex 16.1 (p131)
20,17,143,LAST WEEK / MONTH...,Ex 16.2 (p133)
21,17-18,155,BOXER,Ex 16.3 (p134)
22,18,159,HAVE --> HAD,Weak forms (p151)
23,18,163,WRITE --> WROTE,Ex 17.1 (p146)
24,18-19,175,BUTCHER'S,Ex 17.2 (p148)
25,19,180,DOWNLOAD,Ex 17.3 (p149)
26,19-20,192,KIND,Ex 18.3 (p169)
27,20,197,WELL <--> BADLY,"Exs 18.1, 18.2 (pgs 165-168)"
28,20,204,Possessive pronouns,Past of regular verbs (p187)
29,20,207,COULD for requests),Survival (p21)
30,,,GRAMMAR REVIEW,
31,,,REVISION,FINISH ANY EXERCISES NOT DONE.
32,,,REVISION,
33,,,END OF STEP EXAM,
34,,,SPEAKER'S CORNER,
