HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,121,8,APRON,How to pronounce <u> p32
2,121,15,RAW,Ex 121.1 (p29)
3,121,22,ACQUIRED TASTE,Ex 121.2 (p30)
4,121,29,PORRIDGE,Pron: <OUGH> (p66)
5,122,42,FASHION VICTIM,Ex 122.1 (p62)
6,122,49,UNDERDRESSED,Ex 122.2 (p64)
7,122,56,RUNNING WATER,Ex 122.3 (p65)
8,122,62,WELL-BUILT,Past cont. for polite requests p93
9,123,75,CLASSIFIED,Ex 123.1 (p91)
10,123,82,SCHOOL / PACK,Ex 123.2 (p92)
11,123,88,GEESE,Ex 123.3 (p93)
12,124,98,IMPOSSIBLE,Vowel sounds p122
13,124,104,HIDEOUS,
14,124,108,Intensifying extreme adjs,Ex 124.1 (p120)
15,124,115,FUNNY,Ex 124.2 (p121)
16,125,129,CUSTOM,Nasal consonants p155
17,125,136,DISAPPROVAL,
18,125,143,TOLERANCE,Ex 125.1 (p152)
19,125,151,Empty IT vs Gerund,Ex 125.2 (p153)
20,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
21,126,164,LOOKS,Ex 126.1 (p182)
22,126,171,Reflexive pronouns,Ex 126.2 (p183)
23,126,176,THEMSELVES / EACH OTHER,Ex 126.3 (p184)
24,126,181,BLAME YOURSELF,Past endings regular vbs p213
25,127,194,BURST OUT,Ex 127.1 (p209)
26,127,199,PAY OFF,Ex 127.2 (p211)
27,127,203,Separable phrasal verbs,Linking sounds p238)
28,127,209,GO OFF,Ex 128.1 (p233)
29,128,225,ON OFFER,Ex 128.2 (p235)
30,128,230,"WHATEVER, HOWEVER...",Ex 128.3 (p236)
31,129,245,ANY + adj,Survival p264
32,129,251,Double comparatives,Ex 129.1 (p261)
33,129,258,SO THAT,Ex 128.2 p262
34,130,272,ASSERTIVE,Ex 129.3 (p263)
35,130,278,DROP A HINT,Sound recognition p295
36,130,286,Reported speech - revision,Ex 130.1 (p290)
37,130,290,Time / place markers reported speech,Ex 130.2 (p292)
38,,,GRAMMAR REVIEW,
39,,,REVISION,FINISH ANY EXERCISES NOT DONE.
40,,,REVISION,
41,,,END OF STEP EXAM,
42,,,SPEAKER'S CORNER,
