HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,21,19,"WELL (adj., health)",Silent 'r' (p16)
2,22,24,SHOULD / SHOULDN'T,Ex 21.1 (p12)
3,22,28,MEDICINE,Ex 21.2 (p13)
4,22,33,SAY --> SAID,Weak forms (p37)
5,23,45,MOUNTAIN,Ex 22.1 (p33)
6,23,50,WITHOUT,Ex 22.2 (p35)
7,24,63,MAGAZINE,Silent 'e' (p61)
8,24,70,DESCRIBE,Ex 23.1 (p56)
9,24,84,STUDENT,Ex 23.2 (p58)
10,25,90,SUBJECT,Present or past? (p80)
11,25,97,TEENAGER,Ex 24.1 (p76)
12,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
13,26,113,MICROWAVE,Ex 25.1 (p98)
14,26,121,WHOLE,Ex 25.2 (p100)
15,27,137,WILL (future),Weak forms (III) (p125)
16,27,146,HOW MUCH,Ex 26.1 (p121)
17,28,155,Uncountable nouns,Ex 26.2 (p123)
18,28,162,A PAIR OF + TROUSERS / GLASSES...,Won't vs want (p143)
19,29,175,LUGGAGE,Ex 27.2 (p142)
20,29,183,SINGLE BED,Ex 28.3 (p165)
21,30,194,TOO MUCH / TOO MANY,Consonant sounds /s/ and /z/ (p185)
22,30,202,ALIVE,Silent letters (III) (p205)
23,,,GRAMMAR REVIEW,
24,,,REVISION,FINISH ANY EXERCISES NOT DONE
25,,,REVISION,
26,,,END OF STEP EXAM,
27,,,GO THROUGH EXAM,
28,,,SPEAKER'S CORNER,
