HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,101,21,Defining relative clauses,Survival: Gestures (p27)
2,102,36,SUM,Ex 101.1 (p24)
3,102,45,HANG STH UP,Ex 101.2 (p24)
4,103,60,PULL A MUSCLE,<O> and <OR> (p55)
5,103,70,BALANCED,Ex 102.1 (p52)
6,103,79,ALTHOUGH / EVEN THOUGH + clause,Ex 102.2 (p52)
7,104,98,CAUSE,Intonation (p88)
8,104,109,CHEAT,Ex 103.1 (p85)
9,105,125,DISSATISFIED,Ex 103.2 (p85)
10,105,138,RING A BELL,Reading out loud (p120)
11,105,148,CRITICAL,Weak forms (p152)
12,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
13,106,166,PREVENT,Survival: British / US slang
14,106,176,OFFENCE,Ex 106.1 (p181)
15,107,193,MASS-PRODUCED,Ex 106.2 (p182)
16,107,202,EXCHANGE,Linking sounds (III) (p215)
17,108,218,MAKE MONEY,Ex 107.1 (p212)
18,108,230,MOTIVATION,Ex 107.2 (p213)
19,109,246,SPEAK OUT,Consonant clusters (p238)
20,109,256,DRAFT,Ex 108.1 (p235)
21,110,270,PURCHASE,Ex 108.2 (p236)
22,110,283,CONNECT,Vowel sounds (p266)
23,110,294,Future perfect,Gap fillers p298
24,,,GRAMMAR REVIEW,
25,,,REVISION,FINISH ANY EXERCISES NOT DONE
26,,,REVISION,
27,,,END OF STEP EXAM,
28,,,GO THROUGH EXAM,
29,,,SPEAKER'S CORNER,
