HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,91,20,CAUTIOUS,Survival: colour idioms (p28)
2,92,39,THE ARCTIC,Ex 91.1 (p24)
3,92,49,"MUST BE, COULD BE etc (revision)",Ex 91.1 (p24)
4,93,65,BURGLARY,Letters OUGH (p59)
5,93,75,Passives: talking about place and time,Ex 92.1 (p57)
6,93,85,DISGUISE,Ex 92.2 (p57)
7,94,104,TAKE THE BLAME,Endings of regular verbs (p94)
8,94,113,"TELL, ASK and SAY",Ex 93.1 (p91)
9,94,121,Reported speech with IF and WHETHER,Ex 93.2 (p92)
10,95,137,ACCURATELY,Weak forms of modals (p127)
11,95,149,CITIZEN,Ex 94.1 (p124)
12,95,159,ASSIST,Intonation (II) (p162)
13,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
14,96,175,REQUEST,Ex 95.1 (p160)
15,96,185,Reflexive pronouns,Ex 95.2 (p161)
16,97,201,INVENTION,Survival (p191)
17,97,210,SHOW OFF,Ex 96.1 (p189)
18,97,220,CALM DOWN,Weak forms (p224)
19,98,236,COME DOWN WITH,Ex 97.1 (p221)
20,98,252,HABIT,Ex 97.2 (p221)
21,99,262,SMOKER,Silent letters (VII)
22,99,272,Verb patterns and meaning change,Ex 98.1 (p246)
23,100,291,FLOOD,Ex 98.2 (p246)
24,100,301,Future perfect,Minimal pairs (III) (p280)
25,100,313,LEAD,Schwa + linking R (p317)
26,,,GRAMMAR REVIEW,
27,,,REVISION,FINISH ANY EXERCISES NOT DONE.
28,,,REVISION,
29,,,END OF STEP EXAM,
30,,,GO THROUGH EXAM,
31,,,SPEAKER'S CORNER,
